"Highlight","Book Title","Book Author","Amazon Book ID","Note","Color","Tags","Location Type","Location","Highlighted at","Document tags","highlight_id","book_id","is_favorited","is_discarded","last_reviewed_at","review_count","created_at","updated_at","book_created_at","book_updated_at"
"It is perhaps unsurprising that in the small enclaves of Greece where siestas still remain intact, such as the island of Ikaria, men are nearly four times as likely to reach the age of ninety as American males.","Why We Sleep","Matthew Walker","","remarkable. These blue zones are probably disappearing even more, given economic pressures","","","","","2025-12-09T22:23:00","","34","1","false","false","","","2025-12-09T22:23:00","2025-12-20T09:30:19.040642","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Should you ever have to give a presentation at work, for your own sake—and that of the conscious state of your listeners—if you can,avoid the midafternoon slot.","Why We Sleep","Matthew Walker","","","","","","","2025-12-09T22:17:00","","16","1","false","false","","","2025-12-09T22:17:00","2025-12-20T09:30:18.650085","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"The practice of biphasic sleep is not cultural in origin, however. It is deeply biological. All humans,irrespective of culture or geographical location, have a genetically hardwired dip in alertness that occurs in the midafternoon hours.","Why We Sleep","Matthew Walker","","","","","","","2025-12-09T22:16:00","","17","1","false","false","","","2025-12-09T22:16:00","2025-12-20T09:30:18.675628","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Insufficient sleep robs most nations of more than 2 percent of their GDP—amounting to the entire cost of each country’s military.","Why We Sleep","Matthew Walker","","","","","","","2025-11-10T22:21:00","","2","1","false","false","","","2025-11-10T22:21:00","2025-12-20T09:30:18.319466","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"for healthy sleep, the scientific evidence suggests that you should avoid going to bed too full or too hungry, and shy away from diets that are excessively biased toward carbohydrates (greater than 70 percent of all energy intake), especially sugar.","Why We Sleep","Matthew Walker","","","","","","","2025-11-10T22:16:00","","3","1","false","false","","","2025-11-10T22:16:00","2025-12-20T09:30:18.341681","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"In younger, healthy adults, exercise frequently increases total sleep time, especially deep NREM sleep.It also deepens the quality of sleep, resulting in more powerful electrical brainwave activity.","Why We Sleep","Matthew Walker","","","","","","","2025-11-10T22:13:00","","4","1","false","false","","","2025-11-10T22:13:00","2025-12-20T09:30:18.367948","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Individuals taking sleeping pills were 30 to 40 percent more likely to develop cancer within the two-and-a-half-year period of the study than those who were not.","Why We Sleep","Matthew Walker","","","","","","","2025-11-10T21:58:00","","5","1","false","false","","","2025-11-10T21:58:00","2025-12-20T09:30:18.392223","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Those taking sleeping pills were 4.6 times more likely to die over this short two-and-a-half-year period than those who were not using sleeping pills.","Why We Sleep","Matthew Walker","","","","","","","2025-11-10T21:57:00","","6","1","false","false","","","2025-11-10T21:57:00","2025-12-20T09:30:18.415723","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Kripke discovered that individuals using prescription sleep medications are significantly more likely to die and to develop cancer than those who do not.","Why We Sleep","Matthew Walker","","Is this correlational or causal?","","","","","2025-11-10T21:51:00","","32","1","false","false","","","2025-11-10T21:51:00","2025-12-20T09:30:18.991317","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"I was beginning to learn his body English. His hand tightened on mine and he indicated that he wanted to leave.
I led him to the front porch, where his uneasy stepshalted. He was still holding my hand and he gave no sign of letting me go.
“Will you take me home?”
He almost whispered it, in the voice of a child afraid of the dark.","To Kill a Mockingbird","Harper Lee","","","","","","","2025-10-25T23:41:00","","80","3","false","false","","","2025-10-25T23:41:00","2025-12-20T09:30:20.260968","2025-12-20T09:30:20.264943","2025-12-20T09:30:20.265704"
"Atticus was right. One time he said you never really know a man until you stand in his shoes and walk around in them. Just standing on the Radley porch was enough.","To Kill a Mockingbird","Harper Lee","","","","","","","2025-10-25T23:39:00","","81","3","true","false","","","2025-10-25T23:39:00","2025-12-20T09:30:20.310670","2025-12-20T09:30:20.264943","2025-12-20T09:30:20.265704"
"“An‘ they chased him ’n‘ never could catch him ’cause they didn’t know what he looked like, an‘Atticus, when they finally saw him, why he hadn’t done any of those things… Atticus, he was real nice…”
His hands were under my chin, pulling up the cover, tucking it around me.
“Most people are, Scout, when you finally see them.”","To Kill a Mockingbird","Harper Lee","","","","","","","2025-10-25T23:38:00","","82","3","false","false","","","2025-10-25T23:38:00","2025-12-20T09:30:20.336982","2025-12-20T09:30:20.264943","2025-12-20T09:30:20.265704"
"Naw, Jem, I think there’s just one kind of folks. Folks","To Kill a Mockingbird","Harper Lee","","","","","","","2025-10-20T22:05:00","","84","3","false","false","","","2025-10-20T22:05:00","2025-12-20T09:30:20.389628","2025-12-20T09:30:20.264943","2025-12-20T09:30:20.265704"
"If there’s just one kind of folks, why can’t they get along with each other? If they’re all alike,why do they go out of their way to despise each other?","To Kill a Mockingbird","Harper Lee","","","","","","","2025-10-20T22:05:00","","83","3","false","false","","","2025-10-20T22:05:00","2025-12-20T09:30:20.363562","2025-12-20T09:30:20.264943","2025-12-20T09:30:20.265704"
"“Well how do you know we ain’t Negroes?”
“Uncle Jack Finch says we really don’t know. He says as far as he can trace back the Finches we ain’t, but for all he knows we mighta come straight out of Ethiopia durin‘ the Old Testament.”","To Kill a Mockingbird","Harper Lee","","","","","","","2025-10-19T17:26:00","","85","3","false","false","","","2025-10-19T17:26:00","2025-12-20T09:30:20.415668","2025-12-20T09:30:20.264943","2025-12-20T09:30:20.265704"
"folks don’t like to have somebody around knowin‘ more than they do. It aggravates ’em. You’re not gonna change any of them by talkin‘ right, they’ve got to want to learn themselves,and when they don’t want to learn there’s nothing you can do but keep your mouth shut or talk their language","To Kill a Mockingbird","Harper Lee","","","","","","","2025-10-18T11:32:00","","86","3","false","false","","","2025-10-18T11:32:00","2025-12-20T09:30:20.444124","2025-12-20T09:30:20.264943","2025-12-20T09:30:20.265704"
"machtige mensen hebben dezelfde neigingen.10 Ze gedragen zich alsof ze hersenletsel hebben opgelopen. Letterlijk. Ze zijn impulsiever, egoïstischer, roekelozer, arroganter,narcistischer en grover dan gemiddeld. Ze gaan vaker vreemd, luisteren minder goed en hebben minder oogvoor het perspectief van een ander. Ze zijn ook schaamtelozer, en laten die ene gezichtsuitdrukking die mensen uniek maakt in het dierenrijk zelden zien.
Ze blozen niet.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-30T22:19:00","stoicism","55","2","false","false","","","2025-09-30T22:19:00","2025-12-20T09:30:19.614117","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Het mechanisme dat ons de aardigste én de wreedste soort op de planeet heeft gemaakt. Het is een ongemakkelijke waarheid:empathie en xenofobie zijn twee kanten van dezelfde medaille.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-30T21:47:00","stoicism","56","2","false","false","","","2025-09-30T21:47:00","2025-12-20T09:30:19.638171","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Volgens de psycholoog is empathie geen warme zon die de wereld verlicht.Empathie is een schijnwerper. Een zoeklicht. Het is gericht op een specifieke persoon of een enkele groep uit je eigen leefwereld. Terwijl je de emoties van de enkelin-g opzuigt, verdwijnt de rest van de wereld naar de achtergrond.","De meeste mensen deugen","Rutger Bregman","","Weerhoudt ons van rationele morele beslissingen.","","","","","2025-09-30T21:45:00","stoicism","57","2","false","false","","","2025-09-30T21:45:00","2025-12-20T09:30:19.663444","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"In de praktijk is empathie een hopeloos beperkte emotie, aldus professor Bloom.
Empathie voelen we vooral voor mensen die dicht bij ons staan.","De meeste mensen deugen","Rutger Bregman","","meet empathie is niet het antwoord. Beleid moet dus ook niet dit als basis hebben.","","","","","2025-09-28T18:17:00","stoicism","58","2","false","false","","","2025-09-28T18:17:00","2025-12-20T09:30:19.691288","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"a chronic lack of sleep across the season predicted a massively higher risk of injury","Why We Sleep","Matthew Walker","","within-person ""causal"" effect or between-person effect. Are those with less sleep more prone to injury or do people becomes less accident prone the more they sleep?","","","","","2025-09-27T22:50:00","","33","1","false","false","","","2025-09-27T22:50:00","2025-12-20T09:30:19.013807","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Ook als we net doen alsof iedereen gelijk is, en verschillen in huidskleur, uiterlijk en rijkdom niet bestaan, dan nóg zien kinderen verschil.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-27T22:48:00","stoicism","59","2","false","false","","","2025-09-27T22:48:00","2025-12-20T09:30:19.717907","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Een Amerikaanse soldaat vocht niet uit patriottisme, ontdekten de wetenschappers, en een Britse soldaat dacht vrijwel nooit aan de democratische rechtsstaat.De jongens vochten niet voor hun vaderland, ze vochten voor hun maten.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-25T22:48:00","stoicism","60","2","false","false","","","2025-09-25T22:48:00","2025-12-20T09:30:19.742521","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"mensen in 90 procent van degevallen elkaar helpen.","De meeste mensen deugen","Rutger Bregman","","Op basis van observationeel onderzoek. Door Marie Lindegaard.","","","","","2025-09-25T22:29:00","stoicism","61","2","false","false","","","2025-09-25T22:29:00","2025-12-20T09:30:19.766519","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Als er sprake is van een levensgevaarlijke situatie (iemand verdrinkt of iemand wordt aangevallen) en als de omstanders met elkaar kunnen communiceren (en dus niet in een afgesloten hok zitten), is er juist sprake van een omgekeerd omstanderseffect. ‘Een groter aantal omstanders’, schrijven de onderzoekers, ‘leidt zelfs tot meer in plaats van minder hulp.’","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-25T22:28:00","stoicism","62","2","false","false","","","2025-09-25T22:28:00","2025-12-20T09:30:19.790173","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"In het boek Eichmann in Jeruzalem van Hannah Arendt staat een fascinerende passage over de redding van de Deense Joden. ‘Het is het enige geval’, schreef de filosoof, ‘waarin nazi’s openlijke weerstand ondervonden van de plaatselijke bevolking, en het resultaat lijkt te zijn geweest dat zij […] van houding veranderden. Blijkbaar beschouwden zij de vernietiging van een heel volk niet meer als vanzelfsprekend. Zij hadden weerstand ondervonden die gebaseerd was op principes, en hun “hardheid” was gesmolten als boter in de zon…’48","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-22T23:57:00","stoicism","63","2","false","false","","","2025-09-22T23:57:00","2025-12-20T09:30:19.817498","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Verzet is een vaardigheid. ‘Wat Milgrams helden onderscheidt’, concludeert Hollander,‘is een grotendeels doceerbare competentie in het verzet tegen dubieuze autoriteit.’39","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-22T23:50:00","stoicism","64","2","false","false","","","2025-09-22T23:50:00","2025-12-20T09:30:19.842014","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Helaas hebben we de simpele conclusies van Stanley Milgram (de mens laat zich gedachteloos meeslepen door het kwaad) beter onthouden dan de gelaagde filosofie van Hannah Arendt (de mens laat zich verleiden door het kwaad dat goed lijkt).","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-22T23:48:00","stoicism","65","2","false","false","","","2025-09-22T23:48:00","2025-12-20T09:30:19.869098","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Hannah Arendt was een van die zeldzame filosofen die geloofde dat de meeste mensen deugen.36 Ze stelde dat onze behoefte aan liefde en vriendschap menselijker is dan ons verlangen naar haat en geweld.En als mensen voor het kwaad kiezen, vervolgde ze, dan voelen ze alsnog de behoefte zich te verschuilen achter leugens en clichés die suggereren dat het kwade toch goed is.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-22T23:45:00","stoicism","78","2","false","false","","","2025-09-22T23:45:00","2025-12-20T09:30:20.208963","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"In de 1.300 pagina’s aan interviews, vol verknipte ideeën en fantasieën, wordt voor iedere lezer duidelijk dat Eichmann geen gedachteloze bureaucraat was. Hij was juist een fanaticus. Hij handelde niet uit onverschilligheid, maar uit overtuiging. Net als Milgrams proefpersonen deed hij het kwade omdat hij dacht dat het goed was.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-22T23:39:00","stoicism","66","2","false","false","","","2025-09-22T23:39:00","2025-12-20T09:30:19.893198","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Te veel milieuactivisten onderschatten de weerbaarheid van de mens. En ik vrees dat hun cynisme een zelfvervullende profetie kan zijn, een nocebo waar je moedeloos van wordt, en waardoor de opwarming alleen maar sneller zal verlopen.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-21T22:27:00","stoicism","67","2","false","false","","","2025-09-21T22:27:00","2025-12-20T09:30:19.919717","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"de geschiedenis wordt geschreven door de overwinnaars. De oudste boeken en geschriften staan vol met propaganda van staten en machthebbers.Ze zijn geschreven door onderdrukkers die zichzelf ophemelden en neerkeken op de rest.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-20T19:10:00","stoicism","68","2","true","false","","","2025-09-20T19:10:00","2025-12-20T09:30:19.943493","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"‘Geen Europeaan die het Wilde Leven heeft geproefd’, schreef Franklin, ‘kan het daarna nog verdragen om in onze samenleving te leven.’","De meeste mensen deugen","Rutger Bregman","","Benjamin Franklin. Mooi geschreven.","","","","","2025-09-20T19:04:00","stoicism","69","2","false","false","","","2025-09-20T19:04:00","2025-12-20T09:30:19.969976","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Wat we tegenwoordig ‘mijlpalen van beschaving’ noemen – de uitvinding van het geld,het schrift en de rechtspraak – waren aanvankelijk mijlpalen van onderdrukking","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-20T19:01:00","stoicism","70","2","false","false","","","2025-09-20T19:01:00","2025-12-20T09:30:19.992925","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Rousseau had namelijk óók gelijk toen hij schreef dat landbouwers een stuk ongezonder waren dan jagers en verzamelaars","De meeste mensen deugen","Rutger Bregman","","herhaling van Harari's Sapiens. Landbouw is niet zo zeer een positieve ontwikkeling geweest.","","","","","2025-09-19T22:42:00","stoicism","71","2","false","false","","","2025-09-19T22:42:00","2025-12-20T09:30:20.017695","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"de oerman was waarschijnlijk geen macho.Hij was eerder een protofeminist","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-17T22:27:00","stoicism","72","2","false","false","","","2025-09-17T22:27:00","2025-12-20T09:30:20.041331","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"‘Oorlog gaat niet eindeloos terug in de tijd’,concludeert de vooraanstaande archeoloog Brian Ferguson. ‘Het had een begin.’","De meeste mensen deugen","Rutger Bregman","","Waarom zou je elkaar afslachten als omstandigheden bar zijn?","","","","","2025-09-17T22:15:00","stoicism","73","2","false","false","","","2025-09-17T22:15:00","2025-12-20T09:30:20.068391","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Wat gebeurt er als we een samenleving bestuderen zonder nederzettingen, zonder landbouw en zonder paarden – een samenleving die model kan staan voor hoe we leefden in de prehistorie?
Je voelt hem waarschijnlijk al aankomen: dan blijkt oorlog een zeldzaamheid. Nomadische jagers en verzamelaars houden nu eenmaal niet van geweld,concludeerde Douglas Fry toen hij in 2013 een lijst van representatieve samenlevingen opstelde voor hettijdschrift Science.43 Nomaden lossen conflicten liever op door ze uit te praten of naar een andere vallei te verkassen.","De meeste mensen deugen","Rutger Bregman","","Opposed to perspective of Yuval Harari in Sapiens","","","","","2025-09-17T22:09:00","stoicism","74","2","false","false","","","2025-09-17T22:09:00","2025-12-20T09:30:20.093479","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"De vooraanstaande primatoloog Robert Sapolsky concludeert dat apen ons weinig kunnen leren over hoe we vroeger zelf waren: ‘Het is een leeg debat.’","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-09-17T21:56:00","stoicism","75","2","false","false","","","2025-09-17T21:56:00","2025-12-20T09:30:20.122447","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Als een wetenschapper de mens als moordzuchtige aap neerzette, werd die studie meestal wel opgepikt door journalisten. Maar als een collega stelde dat het juist meeviel, luisterde bijna niemand.","De meeste mensen deugen","Rutger Bregman","","People are more interested in controversy. Problematic incentive structures.","","","","","2025-09-16T22:44:00","stoicism","76","2","false","false","","","2025-09-16T22:44:00","2025-12-20T09:30:20.152675","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"sleep helped the brainautomate the movement routines, making them second nature—effortless—precisely the goal of many an Olympic coach when perfecting the skills of their elite athletes.","Why We Sleep","Matthew Walker","","","","","","","2025-09-15T23:24:00","","8","1","false","false","","","2025-09-15T23:24:00","2025-12-20T09:30:18.463702","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"but when I wake up the next morning and sit back down at the piano, I can just play, perfectly","Why We Sleep","Matthew Walker","","","","","","","2025-09-15T23:20:00","","9","1","false","false","","","2025-09-15T23:20:00","2025-12-20T09:30:18.484819","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"forgetting is not just beneficial to delete stored information we no longer need. It also lowers the brain resources required for retrieving those memories we want to retain, similar to the ease of finding important documents on a neatly organized,clutter-free desk.","Why We Sleep","Matthew Walker","","","","","","","2025-09-15T23:08:00","","10","1","false","false","","","2025-09-15T23:08:00","2025-12-20T09:30:18.504689","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"sleep protects newly acquired information, affording immunity against forgetting: an operation called consolidation.","Why We Sleep","Matthew Walker","","","","","","","2025-09-15T23:01:00","","11","1","false","false","","","2025-09-15T23:01:00","2025-12-20T09:30:18.527035","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"In that moment, we had just become privy to an electrical transaction occurring in the quiet secrecy of sleep: one that was shifting fact-based memories from the temporary storage depot (the hippocampus) to a long-term secure vault (the cortex).","Why We Sleep","Matthew Walker","","","","","","","2025-09-15T22:59:00","","12","1","false","false","","","2025-09-15T22:59:00","2025-12-20T09:30:18.554053","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Shakespeare prophetically states that sleep is “the chief nourisher in life’s feast.”","Why We Sleep","Matthew Walker","","","","","","","2025-09-14T22:19:00","","13","1","false","false","","","2025-09-14T22:19:00","2025-12-20T09:30:18.576492","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"By the time you reach seventy years old, you will have lost 80 to 90 percent of your youthful deep sleep.","Why We Sleep","Matthew Walker","","","","","","","2025-09-14T22:00:00","","14","1","false","false","","","2025-09-14T22:00:00","2025-12-20T09:30:18.601295","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"That older adults simply need less sleep is a myth.Older adults appear to need just as much sleep as they do in midlife, but are simply less able to generate that (still necessary) sleep.","Why We Sleep","Matthew Walker","","","","","","","2025-09-14T21:59:00","","15","1","false","false","","","2025-09-14T21:59:00","2025-12-20T09:30:18.624458","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"A bedroom temperature of around 65 degrees Fahrenheit (18.3°C) is ideal for the sleep of most people, assuming standard bedding and clothing. This surprises many, as it sounds just a little too cold for comfort.","Why We Sleep","Matthew Walker","","","","","","","2025-09-10T22:05:00","","7","1","false","false","","","2025-09-10T22:05:00","2025-12-20T09:30:18.438795","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"vehicular accidents caused by drowsy driving exceed those caused by alcohol and drugs combined.","Why We Sleep","Matthew Walker","","","","","","","2025-08-29T23:34:00","","31","1","false","false","","","2025-08-29T23:34:00","2025-12-20T09:30:18.968810","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Iedere goede daad is een steen in een vijver, met rimpelingen die meters doorgolven. ‘We zien meestal niet’, vertelt een van de onderzoekers, ‘hoe onze generositeit, door een sociaal netwerk, het leven van tientallen of misschien wel honderden andere mensen beïnvloedt.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-08-10T22:02:00","stoicism","77","2","false","false","","","2025-08-10T22:02:00","2025-12-20T09:30:20.184026","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"‘Doe niet voor anderen wat je wilt dat zij voor jou zouden doen’,schreef hij. ‘Ze zouden weleens een andere smaak kunnen hebben.’8","De meeste mensen deugen","Rutger Bregman","","George Bernard Shaw","","","","","2025-07-10T22:19:00","stoicism","37","2","false","false","","","2025-07-10T22:19:00","2025-12-20T09:30:19.125491","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Van de mooiste dingen in het leven krijg je alleen maar meer als je ze weggeeft: vertrouwen, vriendschap, vrede.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-07-10T22:03:00","stoicism","38","2","false","false","","","2025-07-10T22:03:00","2025-12-20T09:30:19.173898","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Zelfs in oorlogstijd is er een berg van vrede, die ieder moment kan bovendrijven. Generaals, politici en ophitsers moeten alles uit de kast trekken – geweld, dwang,nepnieuws – om die berg onder water te duwen.","De meeste mensen deugen","Rutger Bregman","","","","","","","2025-07-10T22:00:00","stoicism","39","2","false","false","","","2025-07-10T22:00:00","2025-12-20T09:30:19.201873","2025-12-20T09:30:19.128429","2025-12-20T09:30:19.128914"
"Humans are not sleeping the way nature intended. The number of sleep bouts, the duration of sleep, and when sleep occurs have all been comprehensively distorted by modernity.","Why We Sleep","Matthew Walker","","","","","","","2025-07-09T23:01:00","","18","1","false","false","","","2025-07-09T23:01:00","2025-12-20T09:30:18.702180","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"So we really ought to look into theories that don’t work, and science that isn’t science.","Surely You're Joking, Mr. Feynman!","Richard P. Feynman","","","","","","","2025-07-03T00:00:00","","149","5","false","false","","","2025-07-03T00:00:00","2025-12-20T09:30:22.317570","2025-12-20T09:30:22.038707","2025-12-20T09:30:22.039243"
"But this long history of learning how to not fool ourselves– of having utter scientific integrity–is, I’m sorry to say, something that we haven’t specifically included in any particular course that I know of. We just hope you’ve caught on by osmosis.The first principle is that you must not fool yourself– and you are the easiest person to fool.","Surely You're Joking, Mr. Feynman!","Richard P. Feynman","","","","","","","2025-07-03T00:00:00","","148","5","false","false","","","2025-07-03T00:00:00","2025-12-20T09:30:22.287677","2025-12-20T09:30:22.038707","2025-12-20T09:30:22.039243"
"When you have put a lot of ideas together to make an elaborate theory, you want to make sure, when explaining what it fits, that those things it fits are not just the things that gave you the idea for the theory; but that the finished theory makes something else come out right, in addition.In summary, the idea is to try to give _all_ of the information to help others to judge the value of your contribution; not just the information that leads to judgment in one particular direction or another.","Surely You're Joking, Mr. Feynman!","Richard P. Feynman","","","","","","","2025-07-03T00:00:00","","147","5","false","false","","","2025-07-03T00:00:00","2025-12-20T09:30:22.259376","2025-12-20T09:30:22.038707","2025-12-20T09:30:22.039243"
